time,open,high,low,close,Volume
2025-02-03 05:25:00,5944.75,5945.25,5942.5,5943.75,1033
2025-02-04 06:25:00,6008.75,6010.75,6006.75,6008.75,1025
2025-02-05 07:25:00,6031.0,6032.25,6029.5,6030.25,923
2025-02-06 08:25:00,6096.75,6099.25,6096.25,6098.25,1277
2025-02-07 09:25:00,6100.5,6101.25,6099.25,6100.5,666
2025-02-10 10:25:00,6073.5,6074.75,6073.0,6073.5,1190
2025-02-11 11:25:00,6068.75,6070.5,6068.75,6070.5,345
2025-02-12 12:25:00,6087.5,6088.5,6087.25,6088.0,798
2025-02-13 13:25:00,6069.25,6073.75,6068.0,6072.75,1564
2025-02-14 14:25:00,6136.0,6137.75,6133.75,6134.5,6781
2025-02-17 15:25:00,6139.75,6140.5,6139.25,6140.5,542
2025-02-18 20:25:00,6133.5,6134.5,6132.0,6132.75,3126
2025-02-19 21:25:00,6155.0,6155.0,6154.0,6154.5,380
2025-02-20 23:25:00,6135.75,6136.0,6134.75,6135.5,278
2025-02-24 00:25:00,6058.5,6059.0,6056.25,6056.75,1479
2025-02-25 01:25:00,6008.5,6008.75,6004.75,6008.25,2099
2025-02-26 02:25:00,5984.0,5984.5,5983.5,5984.0,376
2025-02-27 03:25:00,5975.75,5977.0,5975.5,5976.25,282
2025-02-28 04:25:00,5875.75,5877.5,5874.5,5877.5,1040
2025-03-03 05:25:00,5974.25,5976.25,5974.0,5975.25,815
2025-03-04 06:25:00,5880.0,5881.5,5878.5,5878.75,1061
2025-03-05 07:25:00,5825.75,5827.0,5823.75,5826.0,570
2025-03-06 08:25:00,5819.5,5821.0,5812.5,5820.0,4845
2025-03-07 09:25:00,5766.5,5769.25,5765.25,5768.5,1063
2025-03-10 09:25:00,5721.5,5725.0,5718.75,5720.75,2942
2025-03-11 10:25:00,5640.5,5644.5,5639.0,5643.25,1985
2025-03-12 11:25:00,5624.75,5625.5,5621.75,5622.75,1728
2025-03-13 12:25:00,5585.25,5586.25,5581.75,5583.25,2785
2025-03-14 13:25:00,5576.5,5577.25,5570.25,5572.0,6529
2025-03-17 14:25:00,5668.5,5672.0,5655.5,5656.25,10808
2025-03-18 15:25:00,5608.25,5615.5,5608.25,5608.75,2375
2025-03-19 16:25:00,5661.75,5665.5,5659.5,5664.25,589
2025-03-20 17:25:00,5665.0,5667.0,5655.0,5655.5,2089
2025-03-21 18:25:00,5697.75,5697.75,5693.5,5694.0,7686
2025-03-24 19:25:00,5816.25,5816.75,5812.75,5814.0,5413
2025-03-25 20:25:00,5829.25,5831.0,5829.25,5830.5,1140
2025-03-26 22:25:00,5738.0,5738.0,5732.25,5735.75,2794
2025-03-27 23:25:00,5734.75,5736.0,5734.0,5735.75,516
2025-03-31 00:25:00,5579.0,5581.0,5577.25,5579.5,1951
2025-04-01 01:25:00,5630.75,5631.25,5629.25,5630.25,639
2025-04-02 02:25:00,5667.0,5671.0,5667.0,5670.25,810
2025-04-03 03:25:00,5554.25,5555.25,5551.5,5552.75,818
2025-04-04 04:25:00,5396.5,5401.0,5396.25,5400.5,978
2025-04-07 05:25:00,4947.25,4955.75,4934.25,4936.75,4925
2025-04-08 06:25:00,5157.25,5160.25,5153.5,5157.5,2458
2025-04-09 07:25:00,5010.5,5018.5,5005.75,5013.5,3846
2025-04-10 08:25:00,5384.25,5398.5,5383.5,5394.0,2615
2025-04-11 09:25:00,5286.75,5294.25,5281.25,5288.75,2817
2025-04-14 10:25:00,5452.0,5457.75,5450.0,5455.0,1242
2025-04-15 11:25:00,5446.0,5450.75,5445.25,5448.0,2752
2025-04-16 12:25:00,5386.25,5390.75,5385.5,5388.5,1902
2025-04-17 13:25:00,5336.5,5336.5,5320.25,5322.75,13552
2025-04-21 14:25:00,5198.0,5203.5,5197.25,5201.25,14686
2025-04-22 15:25:00,5302.25,5302.5,5294.25,5294.5,12391
2025-04-23 16:25:00,5391.75,5410.0,5385.5,5409.0,18494
2025-04-24 17:25:00,5493.75,5499.0,5493.75,5495.5,10853
2025-04-25 18:25:00,5544.5,5545.75,5538.0,5541.5,10282
2025-04-28 19:25:00,5550.75,5551.0,5547.5,5549.25,7797
2025-04-29 20:25:00,5589.0,5589.5,5584.5,5584.5,1199
2025-04-30 22:25:00,5628.0,5629.25,5624.25,5626.0,2141
2025-05-01 23:25:00,5617.0,5618.75,5615.0,5617.0,1109
2025-05-05 00:25:00,5678.75,5682.25,5678.5,5681.5,1234
2025-05-06 01:25:00,5665.0,5665.75,5663.25,5663.25,621
2025-05-07 02:25:00,5657.5,5658.75,5652.75,5657.25,2772
2025-05-08 03:25:00,5692.75,5693.25,5691.75,5692.25,1107
2025-05-09 04:25:00,5688.75,5689.75,5688.25,5689.5,144
2025-05-12 05:25:00,5760.25,5762.25,5759.75,5760.5,597
2025-05-13 06:25:00,5847.25,5847.25,5844.75,5845.75,1060
2025-05-14 07:25:00,5907.75,5908.0,5904.5,5904.75,1908
2025-05-15 08:25:00,5881.75,5883.25,5881.5,5882.0,868
2025-05-16 09:25:00,5948.75,5950.25,5948.25,5948.5,566
2025-05-19 10:25:00,5900.0,5905.5,5899.75,5902.75,4145
2025-05-20 11:25:00,5972.75,5973.75,5972.25,5972.75,905
2025-05-21 12:25:00,5928.25,5930.75,5926.75,5927.0,2782
2025-05-22 13:25:00,5856.5,5860.0,5854.25,5855.25,6334
2025-05-23 14:25:00,5807.75,5811.0,5799.0,5802.0,17985
2025-05-26 15:25:00,5878.0,5882.0,5878.0,5881.5,1774
2025-05-27 20:25:00,5940.25,5940.5,5938.5,5938.5,821
2025-05-28 22:25:00,5923.25,5923.75,5920.5,5922.75,925
2025-05-29 23:25:00,5914.75,5914.75,5912.75,5913.0,437
2025-06-02 00:25:00,5903.0,5903.5,5900.0,5900.0,1028
2025-06-03 01:25:00,5934.25,5935.0,5933.5,5934.75,314
2025-06-04 02:25:00,5977.5,5977.75,5976.75,5977.25,410
2025-06-05 03:25:00,5976.5,5977.5,5976.5,5977.25,242
2025-06-06 04:25:00,5959.0,5961.0,5958.5,5960.75,289
2025-06-09 05:25:00,5997.5,5998.5,5997.25,5997.75,284
2025-06-10 06:25:00,6014.0,6014.75,6012.25,6013.75,653
2025-06-11 07:25:00,6030.25,6030.25,6027.0,6027.0,675
2025-06-12 08:25:00,5994.5,5995.5,5992.5,5995.0,1752
2025-06-13 09:25:00,5981.75,5984.0,5979.0,5981.25,2287
2025-06-16 10:25:00,6007.5,6007.75,6006.5,6007.0,254
2025-06-17 11:25:00,6009.25,6010.75,6007.25,6008.5,560
2025-06-18 12:25:00,5995.25,5995.25,5992.25,5993.75,158
2025-06-19 13:25:00,5945.75,5948.5,5945.5,5946.75,292
2025-06-20 18:25:00,6027.75,6028.25,6023.0,6024.25,6276
2025-06-23 19:25:00,6066.25,6069.75,6065.25,6068.5,4679
2025-06-24 20:25:00,6143.5,6144.5,6143.25,6143.75,573
2025-06-25 22:25:00,6147.0,6147.0,6144.25,6145.5,1184
2025-06-26 23:25:00,6198.75,6199.5,6197.5,6199.0,433
2025-06-30 00:25:00,6237.5,6239.75,6237.25,6238.75,766
